height,fees,share_count,consensus_feasible,scheduled_subsidy,contribution_profile,contribution_sum,producer_payout,min_share_payout,max_share_payout,share_payout_total,carrier_payout,total_minted,minted_subsidy,unminted_subsidy,scheduled_supply_cap
1,0,5,1,100000000,1;2;3;4;1,11,85000004,909090,3636363,9999996,5000000,100000000,100000000,0,100000000
1,0,6,1,100000000,1;2;3;4;1;2,13,85000003,769230,3076923,9999997,5000000,100000000,100000000,0,100000000
1,0,7,1,100000000,1;2;3;4;1;2;3,16,85000000,625000,2500000,10000000,5000000,100000000,100000000,0,100000000
1,0,8,1,100000000,1;2;3;4;1;2;3;4,20,85000000,500000,2000000,10000000,5000000,100000000,100000000,0,100000000
1,12345,0,1,100000000,-,0,80012345,0,0,0,0,80012345,80000000,20000000,100000000
1,12345,1,1,100000000,1,1,85012345,10000000,10000000,10000000,5000000,100012345,100000000,0,100000000
1,12345,2,1,100000000,1;2,3,85012346,3333333,6666666,9999999,5000000,100012345,100000000,0,100000000
1,12345,3,1,100000000,1;2;3,6,85012346,1666666,5000000,9999999,5000000,100012345,100000000,0,100000000
1,12345,4,1,100000000,1;2;3;4,10,85012345,1000000,4000000,10000000,5000000,100012345,100000000,0,100000000
1,12345,5,1,100000000,1;2;3;4;1,11,85012349,909090,3636363,9999996,5000000,100012345,100000000,0,100000000
1,12345,6,1,100000000,1;2;3;4;1;2,13,85012348,769230,3076923,9999997,5000000,100012345,100000000,0,100000000
1,12345,7,1,100000000,1;2;3;4;1;2;3,16,85012345,625000,2500000,10000000,5000000,100012345,100000000,0,100000000
1,12345,8,1,100000000,1;2;3;4;1;2;3;4,20,85012345,500000,2000000,10000000,5000000,100012345,100000000,0,100000000
30,0,0,1,100000000,-,0,80000000,0,0,0,0,80000000,80000000,20000000,3000000000
30,0,1,1,100000000,1,1,85000000,10000000,10000000,10000000,5000000,100000000,100000000,0,3000000000
30,0,2,1,100000000,1;2,3,85000001,3333333,6666666,9999999,5000000,100000000,100000000,0,3000000000
30,0,3,1,100000000,1;2;3,6,85000001,1666666,5000000,9999999,5000000,100000000,100000000,0,3000000000
30,0,4,1,100000000,1;2;3;4,10,85000000,1000000,4000000,10000000,5000000,100000000,100000000,0,3000000000
30,0,5,1,100000000,1;2;3;4;1,11,85000004,909090,3636363,9999996,5000000,100000000,100000000,0,3000000000
30,0,6,1,100000000,1;2;3;4;1;2,13,85000003,769230,3076923,9999997,5000000,100000000,100000000,0,3000000000
30,0,7,1,100000000,1;2;3;4;1;2;3,16,85000000,625000,2500000,10000000,5000000,100000000,100000000,0,3000000000
30,0,8,1,100000000,1;2;3;4;1;2;3;4,20,85000000,500000,2000000,10000000,5000000,100000000,100000000,0,3000000000
30,12345,0,1,100000000,-,0,80012345,0,0,0,0,80012345,80000000,20000000,3000000000
30,12345,1,1,100000000,1,1,85012345,10000000,10000000,10000000,5000000,100012345,100000000,0,3000000000
30,12345,2,1,100000000,1;2,3,85012346,3333333,6666666,9999999,5000000,100012345,100000000,0,3000000000
30,12345,3,1,100000000,1;2;3,6,85012346,1666666,5000000,9999999,5000000,100012345,100000000,0,3000000000
30,12345,4,1,100000000,1;2;3;4,10,85012345,1000000,4000000,10000000,5000000,100012345,100000000,0,3000000000
30,12345,5,1,100000000,1;2;3;4;1,11,85012349,909090,3636363,9999996,5000000,100012345,100000000,0,3000000000
30,12345,6,1,100000000,1;2;3;4;1;2,13,85012348,769230,3076923,9999997,5000000,100012345,100000000,0,3000000000
30,12345,7,1,100000000,1;2;3;4;1;2;3,16,85012345,625000,2500000,10000000,5000000,100012345,100000000,0,3000000000
30,12345,8,1,100000000,1;2;3;4;1;2;3;4,20,85012345,500000,2000000,10000000,5000000,100012345,100000000,0,3000000000
31,0,0,1,10000000000,-,0,8000000000,0,0,0,0,8000000000,8000000000,2000000000,13000000000
31,0,1,1,10000000000,1,1,8500000000,1000000000,1000000000,1000000000,500000000,10000000000,10000000000,0,13000000000
31,0,2,1,10000000000,1;2,3,8500000001,333333333,666666666,999999999,500000000,10000000000,10000000000,0,13000000000
31,0,3,1,10000000000,1;2;3,6,8500000001,166666666,500000000,999999999,500000000,10000000000,10000000000,0,13000000000
31,0,4,1,10000000000,1;2;3;4,10,8500000000,100000000,400000000,1000000000,500000000,10000000000,10000000000,0,13000000000
31,0,5,1,10000000000,1;2;3;4;1,11,8500000004,90909090,363636363,999999996,500000000,10000000000,10000000000,0,13000000000
31,0,6,1,10000000000,1;2;3;4;1;2,13,8500000005,76923076,307692307,999999995,500000000,10000000000,10000000000,0,13000000000
31,0,7,1,10000000000,1;2;3;4;1;2;3,16,8500000000,62500000,250000000,1000000000,500000000,10000000000,10000000000,0,13000000000
31,0,8,1,10000000000,1;2;3;4;1;2;3;4,20,8500000000,50000000,200000000,1000000000,500000000,10000000000,10000000000,0,13000000000
31,12345,0,1,10000000000,-,0,8000012345,0,0,0,0,8000012345,8000000000,2000000000,13000000000
31,12345,1,1,10000000000,1,1,8500012345,1000000000,1000000000,1000000000,500000000,10000012345,10000000000,0,13000000000
31,12345,2,1,10000000000,1;2,3,8500012346,333333333,666666666,999999999,500000000,10000012345,10000000000,0,13000000000
31,12345,3,1,10000000000,1;2;3,6,8500012346,166666666,500000000,999999999,500000000,10000012345,10000000000,0,13000000000
31,12345,4,1,10000000000,1;2;3;4,10,8500012345,100000000,400000000,1000000000,500000000,10000012345,10000000000,0,13000000000
31,12345,5,1,10000000000,1;2;3;4;1,11,8500012349,90909090,363636363,999999996,500000000,10000012345,10000000000,0,13000000000
31,12345,6,1,10000000000,1;2;3;4;1;2,13,8500012350,76923076,307692307,999999995,500000000,10000012345,10000000000,0,13000000000
31,12345,7,1,10000000000,1;2;3;4;1;2;3,16,8500012345,62500000,250000000,1000000000,500000000,10000012345,10000000000,0,13000000000
31,12345,8,1,10000000000,1;2;3;4;1;2;3;4,20,8500012345,50000000,200000000,1000000000,500000000,10000012345,10000000000,0,13000000000
730,0,0,1,10000000000,-,0,8000000000,0,0,0,0,8000000000,8000000000,2000000000,7003000000000
730,0,1,1,10000000000,1,1,8500000000,1000000000,1000000000,1000000000,500000000,10000000000,10000000000,0,7003000000000
730,0,2,1,10000000000,1;2,3,8500000001,333333333,666666666,999999999,500000000,10000000000,10000000000,0,7003000000000
730,0,3,1,10000000000,1;2;3,6,8500000001,166666666,500000000,999999999,500000000,10000000000,10000000000,0,7003000000000
730,0,4,1,10000000000,1;2;3;4,10,8500000000,100000000,400000000,1000000000,500000000,10000000000,10000000000,0,7003000000000
730,0,5,1,10000000000,1;2;3;4;1,11,8500000004,90909090,363636363,999999996,500000000,10000000000,10000000000,0,7003000000000
730,0,6,1,10000000000,1;2;3;4;1;2,13,8500000005,76923076,307692307,999999995,500000000,10000000000,10000000000,0,7003000000000
730,0,7,1,10000000000,1;2;3;4;1;2;3,16,8500000000,62500000,250000000,1000000000,500000000,10000000000,10000000000,0,7003000000000
730,0,8,1,10000000000,1;2;3;4;1;2;3;4,20,8500000000,50000000,200000000,1000000000,500000000,10000000000,10000000000,0,7003000000000
730,12345,0,1,10000000000,-,0,8000012345,0,0,0,0,8000012345,8000000000,2000000000,7003000000000
730,12345,1,1,10000000000,1,1,8500012345,1000000000,1000000000,1000000000,500000000,10000012345,10000000000,0,7003000000000
730,12345,2,1,10000000000,1;2,3,8500012346,333333333,666666666,999999999,500000000,10000012345,10000000000,0,7003000000000
730,12345,3,1,10000000000,1;2;3,6,8500012346,166666666,500000000,999999999,500000000,10000012345,10000000000,0,7003000000000
730,12345,4,1,10000000000,1;2;3;4,10,8500012345,100000000,400000000,1000000000,500000000,10000012345,10000000000,0,7003000000000
730,12345,5,1,10000000000,1;2;3;4;1,11,8500012349,90909090,363636363,999999996,500000000,10000012345,10000000000,0,7003000000000
730,12345,6,1,10000000000,1;2;3;4;1;2,13,8500012350,76923076,307692307,999999995,500000000,10000012345,10000000000,0,7003000000000
730,12345,7,1,10000000000,1;2;3;4;1;2;3,16,8500012345,62500000,250000000,1000000000,500000000,10000012345,10000000000,0,7003000000000
730,12345,8,1,10000000000,1;2;3;4;1;2;3;4,20,8500012345,50000000,200000000,1000000000,500000000,10000012345,10000000000,0,7003000000000
731,0,0,1,5000000000,-,0,4000000000,0,0,0,0,4000000000,4000000000,1000000000,7008000000000
731,0,1,1,5000000000,1,1,4250000000,500000000,500000000,500000000,250000000,5000000000,5000000000,0,7008000000000
731,0,2,1,5000000000,1;2,3,4250000001,166666666,333333333,499999999,250000000,5000000000,5000000000,0,7008000000000
731,0,3,1,5000000000,1;2;3,6,4250000001,83333333,250000000,499999999,250000000,5000000000,5000000000,0,7008000000000
731,0,4,1,5000000000,1;2;3;4,10,4250000000,50000000,200000000,500000000,250000000,5000000000,5000000000,0,7008000000000
731,0,5,1,5000000000,1;2;3;4;1,11,4250000003,45454545,181818181,499999997,250000000,5000000000,5000000000,0,7008000000000
731,0,6,1,5000000000,1;2;3;4;1;2,13,4250000004,38461538,153846153,499999996,250000000,5000000000,5000000000,0,7008000000000
731,0,7,1,5000000000,1;2;3;4;1;2;3,16,4250000000,31250000,125000000,500000000,250000000,5000000000,5000000000,0,7008000000000
731,0,8,1,5000000000,1;2;3;4;1;2;3;4,20,4250000000,25000000,100000000,500000000,250000000,5000000000,5000000000,0,7008000000000
731,12345,0,1,5000000000,-,0,4000012345,0,0,0,0,4000012345,4000000000,1000000000,7008000000000
731,12345,1,1,5000000000,1,1,4250012345,500000000,500000000,500000000,250000000,5000012345,5000000000,0,7008000000000
731,12345,2,1,5000000000,1;2,3,4250012346,166666666,333333333,499999999,250000000,5000012345,5000000000,0,7008000000000
731,12345,3,1,5000000000,1;2;3,6,4250012346,83333333,250000000,499999999,250000000,5000012345,5000000000,0,7008000000000
731,12345,4,1,5000000000,1;2;3;4,10,4250012345,50000000,200000000,500000000,250000000,5000012345,5000000000,0,7008000000000
731,12345,5,1,5000000000,1;2;3;4;1,11,4250012348,45454545,181818181,499999997,250000000,5000012345,5000000000,0,7008000000000
731,12345,6,1,5000000000,1;2;3;4;1;2,13,4250012349,38461538,153846153,499999996,250000000,5000012345,5000000000,0,7008000000000
731,12345,7,1,5000000000,1;2;3;4;1;2;3,16,4250012345,31250000,125000000,500000000,250000000,5000012345,5000000000,0,7008000000000
731,12345,8,1,5000000000,1;2;3;4;1;2;3;4,20,4250012345,25000000,100000000,500000000,250000000,5000012345,5000000000,0,7008000000000
1460,0,0,1,5000000000,-,0,4000000000,0,0,0,0,4000000000,4000000000,1000000000,10653000000000
1460,0,1,1,5000000000,1,1,4250000000,500000000,500000000,500000000,250000000,5000000000,5000000000,0,10653000000000
1460,0,2,1,5000000000,1;2,3,4250000001,166666666,333333333,499999999,250000000,5000000000,5000000000,0,10653000000000
1460,0,3,1,5000000000,1;2;3,6,4250000001,83333333,250000000,499999999,250000000,5000000000,5000000000,0,10653000000000
1460,0,4,1,5000000000,1;2;3;4,10,4250000000,50000000,200000000,500000000,250000000,5000000000,5000000000,0,10653000000000
1460,0,5,1,5000000000,1;2;3;4;1,11,4250000003,45454545,181818181,499999997,250000000,5000000000,5000000000,0,10653000000000
1460,0,6,1,5000000000,1;2;3;4;1;2,13,4250000004,38461538,153846153,499999996,250000000,5000000000,5000000000,0,10653000000000
1460,0,7,1,5000000000,1;2;3;4;1;2;3,16,4250000000,31250000,125000000,500000000,250000000,5000000000,5000000000,0,10653000000000
1460,0,8,1,5000000000,1;2;3;4;1;2;3;4,20,4250000000,25000000,100000000,500000000,250000000,5000000000,5000000000,0,10653000000000
1460,12345,0,1,5000000000,-,0,4000012345,0,0,0,0,4000012345,4000000000,1000000000,10653000000000
1460,12345,1,1,5000000000,1,1,4250012345,500000000,500000000,500000000,250000000,5000012345,5000000000,0,10653000000000
1460,12345,2,1,5000000000,1;2,3,4250012346,166666666,333333333,499999999,250000000,5000012345,5000000000,0,10653000000000
1460,12345,3,1,5000000000,1;2;3,6,4250012346,83333333,250000000,499999999,250000000,5000012345,5000000000,0,10653000000000
1460,12345,4,1,5000000000,1;2;3;4,10,4250012345,50000000,200000000,500000000,250000000,5000012345,5000000000,0,10653000000000
1460,12345,5,1,5000000000,1;2;3;4;1,11,4250012348,45454545,181818181,499999997,250000000,5000012345,5000000000,0,10653000000000
1460,12345,6,1,5000000000,1;2;3;4;1;2,13,4250012349,38461538,153846153,499999996,250000000,5000012345,5000000000,0,10653000000000
1460,12345,7,1,5000000000,1;2;3;4;1;2;3,16,4250012345,31250000,125000000,500000000,250000000,5000012345,5000000000,0,10653000000000
1460,12345,8,1,5000000000,1;2;3;4;1;2;3;4,20,4250012345,25000000,100000000,500000000,250000000,5000012345,5000000000,0,10653000000000
24820,0,0,1,1,-,0,0,0,0,0,0,0,0,1,14302999991970
24820,0,1,1,1,1,1,1,0,0,0,0,1,1,0,14302999991970
24820,0,2,1,1,1;2,3,1,0,0,0,0,1,1,0,14302999991970
24820,0,3,1,1,1;2;3,6,1,0,0,0,0,1,1,0,14302999991970
24820,0,4,1,1,1;2;3;4,10,1,0,0,0,0,1,1,0,14302999991970
24820,0,5,1,1,1;2;3;4;1,11,1,0,0,0,0,1,1,0,14302999991970
24820,0,6,1,1,1;2;3;4;1;2,13,1,0,0,0,0,1,1,0,14302999991970
24820,0,7,1,1,1;2;3;4;1;2;3,16,1,0,0,0,0,1,1,0,14302999991970
24820,0,8,1,1,1;2;3;4;1;2;3;4,20,1,0,0,0,0,1,1,0,14302999991970
24820,12345,0,1,1,-,0,12345,0,0,0,0,12345,0,1,14302999991970
24820,12345,1,1,1,1,1,12346,0,0,0,0,12346,1,0,14302999991970
24820,12345,2,1,1,1;2,3,12346,0,0,0,0,12346,1,0,14302999991970
24820,12345,3,1,1,1;2;3,6,12346,0,0,0,0,12346,1,0,14302999991970
24820,12345,4,1,1,1;2;3;4,10,12346,0,0,0,0,12346,1,0,14302999991970
24820,12345,5,1,1,1;2;3;4;1,11,12346,0,0,0,0,12346,1,0,14302999991970
24820,12345,6,1,1,1;2;3;4;1;2,13,12346,0,0,0,0,12346,1,0,14302999991970
24820,12345,7,1,1,1;2;3;4;1;2;3,16,12346,0,0,0,0,12346,1,0,14302999991970
24820,12345,8,1,1,1;2;3;4;1;2;3;4,20,12346,0,0,0,0,12346,1,0,14302999991970
24821,0,0,1,0,-,0,0,0,0,0,0,0,0,0,14302999991970
24821,0,1,1,0,1,1,0,0,0,0,0,0,0,0,14302999991970
24821,0,2,1,0,1;2,3,0,0,0,0,0,0,0,0,14302999991970
24821,0,3,1,0,1;2;3,6,0,0,0,0,0,0,0,0,14302999991970
24821,0,4,1,0,1;2;3;4,10,0,0,0,0,0,0,0,0,14302999991970
24821,0,5,1,0,1;2;3;4;1,11,0,0,0,0,0,0,0,0,14302999991970
24821,0,6,1,0,1;2;3;4;1;2,13,0,0,0,0,0,0,0,0,14302999991970
24821,0,7,1,0,1;2;3;4;1;2;3,16,0,0,0,0,0,0,0,0,14302999991970
24821,0,8,1,0,1;2;3;4;1;2;3;4,20,0,0,0,0,0,0,0,0,14302999991970
24821,12345,0,1,0,-,0,12345,0,0,0,0,12345,0,0,14302999991970
24821,12345,1,1,0,1,1,12345,0,0,0,0,12345,0,0,14302999991970
24821,12345,2,1,0,1;2,3,12345,0,0,0,0,12345,0,0,14302999991970
24821,12345,3,1,0,1;2;3,6,12345,0,0,0,0,12345,0,0,14302999991970
24821,12345,4,1,0,1;2;3;4,10,12345,0,0,0,0,12345,0,0,14302999991970
24821,12345,5,1,0,1;2;3;4;1,11,12345,0,0,0,0,12345,0,0,14302999991970
24821,12345,6,1,0,1;2;3;4;1;2,13,12345,0,0,0,0,12345,0,0,14302999991970
24821,12345,7,1,0,1;2;3;4;1;2;3,16,12345,0,0,0,0,12345,0,0,14302999991970
24821,12345,8,1,0,1;2;3;4;1;2;3;4,20,12345,0,0,0,0,12345,0,0,14302999991970
