mode,seed_index,height,complexity,constraint_id,constraint_name,k,width,table_bytes,par,retries,hidden_bytes,hidden_validation_steps,hidden_validation_allocations,table_validation_steps,table_validation_allocations
global,4,16,4095,1,no-digits,8,24,242,28,0,28,97,73,388,669
global,4,255,16,0,none,3,6,102,30,0,30,37,37,73,154
global,4,255,255,0,none,3,7,99,30,0,30,43,34,79,178
global,4,255,256,0,none,3,7,65,25,0,25,43,34,55,82
global,4,255,512,5,single-lambda,4,8,136,24,0,24,45,53,118,233
global,4,255,1024,2,no-quote,5,10,107,25,0,25,71,56,123,128
global,4,255,2560,2,no-quote,8,18,174,25,2,25,113,89,297,305
global,4,255,4095,7,fold-required,8,24,229,59,0,59,175,161,388,565
global,4,4096,16,0,none,3,6,104,27,0,27,34,40,73,154
global,4,4096,255,0,none,3,7,66,25,0,25,43,34,55,82
global,4,4096,256,5,single-lambda,3,7,87,28,0,28,37,28,73,154
global,4,4096,512,3,letrec-required,4,8,149,56,0,56,81,85,134,241
global,4,4096,1024,6,small-literals,5,10,149,30,0,30,70,36,142,204
global,4,4096,2560,6,small-literals,8,18,244,30,1,30,111,57,340,477
global,4,4096,4095,7,fold-required,8,24,273,54,0,54,161,177,452,821
global,5,0,16,0,none,3,6,90,27,0,27,43,34,67,130
global,5,0,255,0,none,3,7,90,27,0,27,43,34,67,130
global,5,0,256,3,letrec-required,3,7,119,56,0,56,61,64,85,160
global,5,0,512,3,letrec-required,4,8,148,57,0,57,73,77,142,273
global,5,0,1024,2,no-quote,5,10,110,25,1,25,71,56,123,128
global,5,0,2560,2,no-quote,8,18,211,30,0,30,97,57,297,305
global,5,0,4095,2,no-quote,8,24,184,25,0,25,113,89,297,305
global,5,1,16,0,none,3,6,101,27,0,27,34,40,73,154
global,5,1,255,0,none,3,7,64,24,0,24,43,34,55,82
global,5,1,256,1,no-digits,3,7,84,30,1,30,42,22,55,82
global,5,1,512,5,single-lambda,4,8,130,30,0,30,65,29,94,137
global,5,1,1024,1,no-digits,5,10,150,30,0,30,61,61,172,324
global,5,1,2560,7,fold-required,8,18,277,52,1,52,145,225,436,757
global,5,1,4095,2,no-quote,8,24,280,30,1,30,97,97,361,353
global,5,16,16,0,none,3,6,65,25,0,25,43,34,55,82
global,5,16,255,0,none,3,7,89,30,0,30,43,34,79,178
global,5,16,256,5,single-lambda,3,7,71,30,0,30,37,37,73,154
global,5,16,512,0,none,4,8,140,28,0,28,49,37,118,233
