mode,seed_index,height,complexity,constraint_id,constraint_name,k,width,table_bytes,par,retries,hidden_bytes,hidden_validation_steps,hidden_validation_allocations,table_validation_steps,table_validation_allocations
global,7,0,1024,2,no-quote,5,10,107,24,1,24,71,56,123,128
global,7,0,2560,2,no-quote,8,18,197,30,0,30,97,57,297,305
global,7,0,4095,2,no-quote,8,24,178,24,0,24,113,89,297,305
global,7,1,16,0,none,3,6,86,26,0,26,43,34,67,130
global,7,1,255,0,none,3,7,80,27,0,27,37,28,73,154
global,7,1,256,0,none,3,7,85,29,0,29,37,37,73,154
global,7,1,512,1,no-digits,4,8,99,30,1,30,47,29,94,137
global,7,1,1024,1,no-digits,5,10,154,26,0,26,56,66,172,324
global,7,1,2560,4,builtin-cap,8,18,288,39,0,39,129,249,388,669
global,7,1,4095,1,no-digits,8,24,257,27,1,27,97,137,388,669
global,7,16,16,0,none,3,6,100,27,0,27,37,28,73,154
global,7,16,255,0,none,3,7,85,30,1,30,44,22,55,82
global,7,16,256,0,none,3,7,77,30,0,30,38,22,55,82
global,7,16,512,5,single-lambda,4,8,108,27,1,27,49,37,118,233
global,7,16,1024,4,builtin-cap,5,10,92,27,0,27,61,56,142,204
global,7,16,2560,2,no-quote,8,18,183,34,0,34,127,73,297,305
global,7,16,4095,4,builtin-cap,8,24,281,27,0,27,97,73,388,669
global,7,255,16,0,none,3,6,70,30,0,30,34,22,55,82
global,7,255,255,0,none,3,7,80,27,0,27,37,28,73,154
global,7,255,256,5,single-lambda,3,7,100,29,0,29,37,37,73,154
global,7,255,512,0,none,4,8,108,29,0,29,49,49,118,233
global,7,255,1024,4,builtin-cap,5,10,93,27,1,27,61,56,142,204
global,7,255,2560,6,small-literals,8,18,187,29,0,29,97,97,388,669
global,7,255,4095,2,no-quote,8,24,216,33,1,33,125,73,297,305
global,7,4096,16,0,none,3,6,95,24,0,24,34,40,73,154
global,7,4096,255,0,none,3,7,80,27,1,27,37,28,73,154
global,7,4096,256,0,none,3,7,80,30,0,30,42,22,55,82
global,7,4096,512,5,single-lambda,4,8,115,26,0,26,57,45,110,201
global,7,4096,1024,4,builtin-cap,5,10,135,30,0,30,64,36,142,204
global,7,4096,2560,1,no-digits,8,18,258,27,1,27,97,137,388,669
global,7,4096,4095,2,no-quote,8,24,172,24,1,24,113,89,297,305
global,8,0,16,0,none,3,6,86,26,0,26,43,34,67,130
global,8,0,255,0,none,3,7,86,26,0,26,43,34,67,130
global,8,0,256,3,letrec-required,3,7,114,54,0,54,61,64,85,160
global,8,0,512,3,letrec-required,4,8,137,55,0,55,73,77,142,273
global,8,0,1024,2,no-quote,5,10,107,24,1,24,71,56,123,128
global,8,0,2560,2,no-quote,8,18,197,30,0,30,97,57,297,305
global,8,0,4095,2,no-quote,8,24,178,24,0,24,113,89,297,305
global,8,1,16,0,none,3,6,82,29,0,29,37,37,73,154
global,8,1,255,0,none,3,7,101,25,0,25,34,40,73,154
global,8,1,256,0,none,3,7,80,27,0,27,37,28,73,154
global,8,1,512,1,no-digits,4,8,97,30,1,30,47,29,94,137
global,8,1,1024,7,fold-required,5,10,163,49,0,49,101,111,192,339
global,8,1,2560,6,small-literals,8,18,243,33,0,33,131,73,340,477
global,8,1,4095,4,builtin-cap,8,24,153,27,0,27,97,89,340,477
global,8,16,16,0,none,3,6,80,27,0,27,37,28,73,154
